scan_code,name
41,'
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,-
13,=
14,BACKSPACE
1,ESC
59,F1
56,ALT
15,TAB
60,F2
61,F3
62,F4
63,F5
64,F6
65,F7
66,F8
67,F9
68,F10
87,F11
88,F12
16,Q
17,W
18,E
19,R
20,T
21,Y
22,U
23,I
24,O
25,P
26,´
27,[
28,ENTER
58,CAPS LOCK
30,A
31,S
32,D
33,F
34,G
35,H
36,J
37,K
38,L
39,Ç
40,~
43,~]
42,SHIFT
86,\
44,Z
45,X
46,C
47,V
48,B
49,N
50,M
51,","
52,.
53,;
115,/
54,RIGHT SHIFT
29,CTRL
91,LEFT WINDOWS
57,SPACE
541,CTRL
79,1 Auxiliar
80,2 Auxiliar
81,3 Auxiliar
75,4 Auxiliar
76,5 Auxiliar
77,6 Auxiliar
71,7 Auxiliar
72,8 Auxiliar
73,9 Auxiliar
82,0 Auxiliar
83,DECIMAL
78,+
74,- Auxiliar
55,*
69,NUM LOCK
